ID,Score,"Emails Sent","Open Rate","Unsubscription Rate","Bounce Rate","Complaint Rate"
1169153,16.9,24348,5.71,0,2.46,0.14
544170,38.84,24344,18.23,0,1.17,0.01
292191,49.49,24315,23.07,0.17,1.42,0
978870,18.78,24300,7.54,0,1.83,0.01
1247442,111.34,24299,55.56,0,0.11,0
315550,39.71,24283,19.26,0.01,0.58,0
587110,62.02,24264,28.76,0,2.25,0
486244,36.26,24257,17.5,0,0.63,0
477415,29.26,24254,12.76,0,1.87,0
1125958,44.24,24251,18.88,0.44,2.5,0.04
913902,53.5,24246,26.32,0,0.43,0
659481,44.04,24234,19.83,0,2.19,0
641711,32.01,24227,15.2,0.11,0.62,0.01
606369,13.32,24206,4.68,0,1.98,0
30712,15.2,24190,4.18,0,3.4,0.01
508757,20.9,24169,9.72,0,0.73,0
483208,34,24167,15.4,0,1.6,0
46992,42.74,24151,19.97,0,1.4,0
618858,39.22,24148,17.66,0,1.93,0.01
1275823,23.38,24127,10.49,0,1.14,0.03
621659,26.57,24127,12.52,0.01,0.75,0
820065,13.18,24125,5.04,0,1.55,0
767625,23.84,24111,11.12,0,0.8,0
1215060,60.87,24104,28.86,0.13,1.38,0
1511718,28.86,24098,13.36,0,1.07,0
1467389,35.9,24097,17.14,0,0.81,0
888164,32.16,24081,15.09,0,0.99,0
1247456,10.96,24071,4.84,0,0.64,0
1348140,27.52,24059,12.69,0.16,0.83,0
826827,31.9,24058,13.55,0,2.4,0
612730,56,24042,27.53,0,0.47,0
901986,23.06,24039,9.8,0,1.73,0
678085,14.34,24038,6.14,0.08,0.89,0.01
1187528,93.56,24036,38.47,0.02,8.28,0
1511630,20.34,24032,8.92,0,1.11,0.07
729888,44.04,24032,14.3,0.02,7.65,0.02
1018649,52.33,24030,23.85,0.05,2.24,0
734824,17.98,24019,8.71,0,0.28,0
974978,20.64,24002,9.2,0,1.1,0.01
1265741,36.08,23985,16.53,0,1.43,0.04
133701,122.4,23975,44.27,0,16.93,0
717507,51.88,23961,25.18,0,0.76,0
418334,33.84,23958,15.71,0,1.21,0
1236925,48.24,23944,17.94,0.06,6.09,0
941011,59.36,23929,28.26,0,1.42,0
1072173,29.96,23901,13.82,0,1.16,0
472886,77.04,23900,35.39,0,3.13,0
274119,63.28,23892,28.1,0,3.54,0
355453,46.1,23885,21.76,0,1.29,0
1455471,41.72,23879,18.2,0,2.64,0.01
261650,58.54,23876,28.44,0,0.81,0.01
597231,58.88,23849,28.11,0,1.33,0
560590,63.41,23842,26.79,0.03,4.87,0
1358360,37.54,23830,14.53,0,4.2,0.02
802877,44.6,23817,17.04,0,5.26,0
433869,22.6,23800,10.46,0,0.82,0.01
1319827,15.12,23796,6.28,0,1.2,0.04
1406102,20.42,23781,9.84,0,0.37,0
749605,28.42,23777,13.21,0,0.98,0.01
1019178,26.14,23776,12.5,0,0.53,0.02
167428,15.45,23776,5.62,0.27,1.64,0.03
1320721,83.58,23770,40.55,0,1.24,0
492516,34.85,23765,16.53,0.05,0.82,0
409773,65.38,23747,30.48,0,2.21,0
453823,101.3,23742,49.32,0.36,0.79,0
570915,20.28,23734,9.33,0,0.79,0.01
849569,44.54,23721,20.99,0,1.28,0
858575,24.6,23718,11.29,0,0.97,0.02
785550,76.18,23705,33.63,0,4.46,0
520397,46.72,23703,21.3,0,2.04,0.01
222137,30.01,23662,14.31,0.01,0.68,0
1000542,10,23660,2.83,0,2.17,0
1082800,35.69,23658,17.52,0.01,0.31,0
1012569,80,23658,39.55,0,0.37,0.04
192688,62.05,23657,29.14,0.15,1.64,0.01
1288569,17.34,23643,7.93,0,0.74,0
828780,25.04,23638,10.31,0,2.21,0
705370,22.39,23634,10.39,0.03,0.76,0
164033,65.28,23618,31.43,0,1.21,0
1151164,24.48,23615,11.42,0,0.82,0
1475536,83.1,23614,17.77,0.02,23.75,0
395365,14.1,23603,6.5,0,0.55,0
392694,26,23598,11.89,0,1.11,0
1084312,46,23559,22.56,0,0.4,0.02
871250,43.42,23545,20.86,0,0.85,0
1023516,52.54,23537,22.28,0.2,3.67,0.01
1392980,36.91,23537,17.3,0.31,0.69,0
748126,58.48,23531,29.13,0.02,0.08,0
76800,28.91,23527,12.7,0.07,1.61,0.02
795155,45.16,23527,14.45,0,8.13,0
112751,42.26,23522,20.39,0,0.74,0
869068,18.6,23514,7.22,0,2.08,0
1539315,61.58,23506,30.28,0,0.49,0.01
170984,58.78,23499,28.71,0,0.64,0.02
281446,31.36,23493,13.87,0.08,1.69,0
228444,33.08,23483,14.21,0.06,2.22,0.01
1306013,50.48,23482,23.57,0.06,1.58,0
984765,80.26,23475,35.69,0,4.44,0
1384430,39.92,23472,18.26,0,1.7,0
587795,56.94,23458,25.95,0,2.52,0
1109183,24.86,23458,11.2,0,1.23,0
1348457,29.97,23456,14.53,0.07,0.35,0
80740,66.8,23448,32.66,0.04,0.68,0
527079,10.38,23445,4.43,0,0.72,0.02
495468,28.58,23435,12.51,0,1.78,0
856659,44.48,23433,20.42,0,1.68,0.07
815356,63.1,23426,30.33,0.02,1.19,0
582536,35.31,23375,17.19,0.19,0.18,0
111437,48.56,23374,23.78,0,0.5,0
802263,72.75,23370,33.82,0.17,2.28,0.01
769537,56,23366,27.13,0,0.87,0
378513,33,23363,13.82,0,2.66,0.01
87365,37.38,23355,16.44,0,2.25,0
73907,29.09,23342,13.94,0.15,0.36,0.01
1242511,84.49,23338,39.54,0.07,2.6,0
357575,32.94,23336,16.05,0,0.42,0
1303484,78.36,23323,38.61,0,0.57,0
481443,17.62,23322,8.24,0,0.57,0
1456571,12.22,23316,2.38,0.02,3.7,0
190239,21.48,23316,9.56,0.3,0.73,0
109371,23.52,23304,9.71,0,2.03,0.01
1211593,16.14,23300,6.65,0,1.42,0
1028590,119.52,23300,58.48,0,1.28,0
1074377,24.06,23295,10.75,0,1.24,0.02
667785,20.72,23291,8.82,0,1.52,0.01
173330,39.04,23279,18.91,0,0.57,0.02
37851,17.66,23277,6.87,0,1.96,0
1474906,20.5,23271,9.35,0,0.9,0
627737,26.5,23262,12.04,0,1.21,0
734344,18.19,23259,8.46,0.09,0.5,0
1489731,17.92,23246,8.31,0,0.65,0
1159205,17.3,23241,7.17,0,1.48,0
71656,64.04,23241,30.5,0,1.52,0
896651,19.46,23241,7.95,0,1.54,0.12
753055,34.4,23240,12.65,0,4.55,0
37849,2.72,23234,0.93,0,0.43,0
346670,32.88,23217,12.94,0,3.34,0.08
34704,21.04,23214,8.42,0,1.96,0.07
457529,27.42,23212,9.22,0,4.49,0
306557,64.38,23211,19.95,0,12.24,0
353988,28.5,23203,10.03,0.16,3.98,0
1480561,20.94,23201,9.71,0,0.76,0
784373,41.84,23193,17.02,0,3.9,0
1425272,46.62,23186,22.75,0,0.54,0.01
298508,23.12,23180,7,0,4.56,0
1430086,26.16,23176,12.08,0,1,0
750776,17.04,23176,6.82,0,1.68,0.01
1341049,45.96,23175,19.96,0.08,2.9,0
760709,28.03,23164,11.75,0.03,2.22,0
340278,32.72,23161,11.13,0,5.23,0
1068707,54.07,23156,26.5,0.01,0.46,0.03
507168,17.45,23151,7.53,0.01,1.18,0
1108595,49.69,23143,23.58,0.03,1.22,0
1030824,52.58,23138,21.56,0,4.73,0
1493965,20,23135,8.39,0,1.61,0
74941,45.8,23134,21.62,0,1.26,0.01
1258141,60.2,23114,24.8,0,5.28,0.01
936550,35.02,23094,16.47,0,1.04,0
839795,30.62,23093,13.56,0,1.75,0
1008669,49.08,23080,24.01,0,0.53,0
1042796,86.72,23074,34.7,0,8.5,0.08
849812,18.93,23063,8.81,0.13,0.44,0.01
48776,38.14,23053,17.32,0,1.75,0
130355,52.18,23050,25.37,0,0.72,0
324426,37.5,23045,17.69,0,1.06,0
301332,24.88,23035,11.35,0,1.09,0
796053,34.32,23029,16.86,0,0.3,0
633551,41.78,23018,20.07,0.06,0.69,0.02
1231621,32.2,23009,14.38,0,1.72,0
201511,38.72,22986,16.19,0,3.15,0.01
1311534,38.04,22971,18.65,0,0.37,0
112455,25.84,22959,11.97,0,0.95,0
1159586,24.94,22954,11.91,0,0.54,0.01
1501086,34.8,22949,16.34,0.08,0.9,0.02
866701,8.04,22927,3.39,0,0.63,0
834373,40.2,22917,18.67,0,1.43,0
1159357,20.42,22914,9.35,0,0.86,0
169314,36.19,22903,16.78,0.29,0.68,0.1
202053,29.99,22889,11.33,0.03,3.62,0
1455562,100.82,22886,49.67,0,0.74,0
697928,32.18,22885,15.82,0,0.27,0
1237600,17.64,22873,6.52,0,2.24,0.03
1437904,48.04,22867,22.78,0,1.22,0.01
475853,41.68,22860,18.11,0,2.73,0
789981,33.64,22852,15.38,0,1.44,0
916837,28.68,22851,13.15,0,1.19,0
1462943,133.18,22840,65.15,0.04,1.36,0.01
274537,28.4,22829,13.37,0,0.83,0
70319,68.16,22826,32.37,0,1.69,0.01
385971,40.68,22821,19.06,0,1.22,0.03
1520315,41.42,22820,19.43,0.04,1.2,0.01
1225171,35.22,22818,15.59,0,2,0.01
798170,25.65,22813,11.66,0.01,1.15,0
1389688,93.1,22804,45.78,0,0.75,0.01
1242370,32.67,22795,15.66,0.21,0.36,0
1534274,48.14,22794,23.23,0,0.82,0.01
1132926,33.98,22784,16.45,0,0.5,0.02
793529,22.44,22768,9.82,0,1.38,0.01
1298988,16.18,22764,6.57,0,1.52,0
1334116,47.18,22756,23.12,0,0.47,0
1076299,44.6,22755,19.2,0,3.08,0.01
343882,48.49,22754,20.53,0.13,3.52,0
547267,17.18,22739,5.74,0,2.85,0
1111774,38.3,22730,18.46,0,0.69,0
1205571,24.76,22723,11.17,0,1.21,0
676232,22.55,22719,10.09,0.01,1.17,0
625846,40.96,22718,19.05,0,1.43,0
1267805,82.06,22712,40.42,0,0.61,0
613858,28.38,22711,12.06,0,2.13,0
1063418,49.14,22703,21.7,0,2.87,0
383029,33.67,22702,15.07,0.07,1.66,0
1340795,88.64,22699,43.05,0,1.27,0
51879,56.08,22693,25.42,0,2.62,0
1211594,43.64,22678,16.79,0,5.03,0
648143,58.66,22675,28.86,0,0.45,0.01
833321,33.56,22674,16.27,0,0.51,0
1432673,31.04,22654,14.7,0,0.76,0.03
721180,12.44,22642,5.84,0,0.38,0
381755,47.8,22642,22.96,0,0.92,0.01
1216802,70.52,22634,34,0,1.26,0
919010,29.6,22629,13.64,0,1.06,0.05
1012007,24.98,22619,10.11,0,2.36,0.01
430494,31.13,22607,14.3,0.11,1.08,0.01
244041,68.22,22603,32.35,0,1.66,0.05
972354,26.24,22602,11.77,0,1.35,0
1206406,45.3,22580,20.32,0,2.33,0
347379,23.26,22577,10.45,0,1.18,0
998903,29.72,22577,10.38,0,4.48,0
801758,68.84,22567,33.52,0,0.9,0
1154461,21.12,22562,9.71,0,0.85,0
47237,46.66,22558,22.85,0,0.48,0
221654,27.04,22552,11.76,0,1.76,0
906124,38.04,22543,17.79,0.08,1.11,0
271952,33.22,22543,13.77,0,2.84,0
1023124,64.86,22537,31.24,0.04,1.13,0
920507,33.18,22534,14.97,0,1.62,0
1443201,53.96,22532,26.15,0,0.83,0
924375,76.48,22514,36.61,0,1.63,0
230458,68.64,22500,32.77,0.22,1.22,0
1419898,22.48,22499,7.5,0.1,3.59,0
683400,47.74,22495,22.49,0,1.36,0.01
1271192,29,22480,12.95,0,1.55,0
1260166,34.38,22467,16.89,0,0.3,0
1416813,61.38,22464,26.18,0.12,4.33,0
472757,12.1,22464,2.76,0,3.29,0
792293,68.05,22463,32.77,0.05,1.18,0
71557,73.76,22459,34.86,0,2.02,0
857685,46.12,22450,22.3,0,0.74,0.01
787365,41.86,22432,18.99,0,1.94,0
356003,31.9,22431,14.48,0,1.47,0
438536,90.28,22418,44.5,0,0.62,0.01
752636,25.84,22418,10.71,0,2.21,0
1119090,49.04,22414,22.97,0,1.55,0
199888,48.12,22406,18.26,0,5.8,0
240850,56,22401,26.89,0,1.09,0.01
94499,48.96,22390,21.85,0,2.63,0
4411,49.07,22386,23.61,0.03,0.88,0
607238,60.54,22382,28.65,0,1.62,0
1437991,12.68,22379,5.84,0,0.48,0.01
347581,57.2,22372,24.78,0,3.82,0
1293827,34.02,22348,15.52,0,1.45,0.02
740838,35.6,22345,16.57,0,1.23,0
485279,17.94,22334,7.94,0,1.03,0
1255201,94.7,22333,44.56,0,2.79,0
251746,17.96,22325,8.14,0,0.82,0.01
1509577,43.05,22306,20.67,0.13,0.64,0.01
1421861,38.44,22300,16.43,0,2.79,0
1448753,58.26,22287,28.3,0,0.83,0
1429009,28.86,22284,13.03,0,1.4,0
638982,4.16,22278,1.16,0,0.92,0
67688,77.74,22278,36.04,0.6,1.93,0
1399591,36.44,22274,17.68,0,0.54,0
107859,36.13,22264,14.63,0.05,3.36,0
160499,32.42,22223,13.08,0,3.13,0
419954,18.99,22223,8.96,0.09,0.38,0.01
691331,59.68,22220,27.99,0,1.85,0
1455692,11.44,22215,4.17,0,1.53,0.01
1231029,13.8,22213,5.64,0,1.26,0
654765,17.32,22207,7.4,0,1.26,0
165428,18.22,22194,7.49,0.18,1.35,0
317413,12.98,22187,4.19,0.02,2.27,0
694412,24.41,22185,10.81,0.13,1.2,0
277027,39.08,22181,17.33,0,2.21,0
759159,24.44,22180,11.47,0,0.73,0.01
993970,28.18,22167,12.15,0,1.94,0
1102183,77.34,22150,38.28,0,0.39,0
1533298,16.54,22146,7.27,0,1,0
799229,51.09,22136,19.78,0.03,5.72,0
1465065,57.26,22125,27.51,0.04,1.04,0.01
1013764,30.26,22119,14.19,0,0.94,0
747665,8.98,22111,3.29,0,1.1,0.05
991631,33.5,22110,14.89,0,1.86,0
60990,55.66,22109,26.77,0,1.04,0.01
219365,40.94,22090,19.53,0,0.94,0
1111825,64.38,22090,31.33,0,0.86,0
1300468,40.94,22080,18.54,0,1.93,0
530309,24.79,22077,10.58,0.09,1.66,0.01
1548067,40.02,22072,17.69,0,2.32,0
251245,75.21,22062,36.59,0.07,0.91,0
287278,29.98,22046,11.52,0,3.47,0
603087,24.2,22029,11.04,0.38,0.49,0
518375,45.88,22028,20.73,0,2.15,0.03
1140726,22.34,22020,6.96,0,4.21,0
1300856,27.14,22017,12.27,0,1.3,0
1386784,51.62,22016,23.6,0,2.21,0
985704,62.03,22013,30.14,0.05,0.78,0.01
1038584,35.12,22005,16.55,0,1.01,0
1520565,53.22,21998,21.43,0.1,5.03,0
1450232,31.78,21994,13.83,0,2.02,0.02
575016,19.21,21981,8.14,0.07,1.34,0.01
814111,67.94,21976,29.81,0,4.14,0.01
408173,59.58,21940,26.95,0.52,2.02,0.02
69922,96.7,21937,47.26,0,1.09,0
1439260,12.48,21923,5.33,0,0.91,0
1393852,50.54,21919,24.07,0,1.2,0
1051639,13.46,21918,4.55,0,2.18,0
1321535,22.7,21911,7.45,0,3.84,0.03
955318,6,21900,1.04,0,1.92,0.02
1219111,27.58,21890,12.29,0.28,1.08,0
808002,16.64,21886,6.83,0,1.47,0.01
1247438,19.22,21885,3.61,0,5.96,0.02
408690,17.28,21875,2.19,0,6.45,0
482910,49.66,21872,24.47,0,0.32,0.02
501528,40.92,21853,19.31,0,1.15,0
968048,12.12,21850,4.1,0,1.96,0
722530,25.12,21837,8.86,0,3.7,0
553033,82.38,21833,36.42,0,4.77,0
297550,23.46,21828,10.27,0,1.44,0.01
648750,37.02,21826,16.22,0,2.29,0
218010,33.56,21823,15.49,0,1.29,0
797294,26.96,21809,7.83,0,5.61,0.02
1036070,73.06,21802,35.96,0,0.55,0.01
358095,56.02,21801,25.58,0,2.41,0.01
557764,29.4,21797,13.63,0,1.07,0
480189,26.12,21783,11.12,0,1.94,0
699176,16.98,21760,6.74,0,1.75,0
1477290,24.42,21759,10.29,0,1.92,0
18823,23.54,21741,9.47,0,2.3,0
1228369,41.86,21738,19.09,0,1.84,0
683478,15.24,21736,4.19,0,3.43,0
171573,19.8,21726,9.01,0,0.89,0
137828,54.6,21720,26.85,0,0.45,0
150518,27.38,21714,12.48,0,1.21,0
458996,29.1,21702,9.92,0,4.53,0.05
288550,14.8,21692,4.74,0,2.66,0
735514,51.02,21686,24.26,0,1.25,0
821221,49.22,21679,23.08,0,1.45,0.04
534420,23.88,21676,10.77,0,1.17,0
728564,59.7,21666,28,0.08,1.73,0
648290,31.52,21665,13.49,0,2.27,0
1252828,95.54,21659,47.18,0,0.57,0.01
92748,93.02,21657,45.57,0,0.9,0.02
1021541,34.44,21641,13.18,0,4.04,0
243777,45.84,21636,21.98,0,0.92,0.01
434643,22.94,21636,10.34,0,1.13,0
262269,34.7,21635,15.8,0.3,1.1,0
1258412,51.78,21630,23.65,0,2.24,0
43169,40.35,21622,19.13,0.07,0.94,0
257656,38.18,21619,17.79,0,1.02,0.14
938539,7.34,21616,2.26,0.02,1.38,0
481817,17.44,21596,6.89,0,1.83,0
1509151,53.27,21593,21,0.01,5.62,0
513837,57.62,21584,27.25,0.08,1.44,0
1422018,37.17,21571,17.43,0.19,0.87,0
1429306,33.46,21569,15.6,0,1.13,0
617850,30.04,21559,14.27,0,0.75,0
1445076,71.62,21550,34.71,0,1.1,0
351803,31.2,21547,14.25,0.14,1.14,0
1104741,32.12,21547,14.59,0,1.47,0
1412521,31.38,21543,15.04,0,0.63,0.01
195657,37.22,21542,16.73,0,1.88,0
1372181,14.5,21542,6.28,0,0.97,0
108450,28.1,21537,12.03,0,2.02,0
963220,110.26,21530,50.83,0.36,3.76,0
194803,28.4,21520,11.89,0.1,2.06,0.05
1419412,18.56,21519,8.03,0,1.25,0
107260,53.2,21517,25.02,0,1.56,0.01
591901,29.96,21505,13.85,0.38,0.5,0.03
1372670,28.19,21501,13.29,0.15,0.58,0
1386902,91.86,21490,37.07,0,8.86,0
599192,55.5,21466,27.29,0,0.46,0
1297473,77.26,21461,37.46,0,1.15,0.01
831890,42.76,21459,20.56,0,0.82,0
1539461,74.64,21458,35.54,0,1.76,0.01
589041,53.62,21453,25.42,0,1.39,0
114702,45.68,21444,20.59,0,2.25,0
856352,29.86,21444,9.99,0,4.82,0.06
1342197,13.88,21429,6.26,0,0.66,0.01
207184,28.62,21422,10.02,0,4.29,0
1110128,53.64,21413,24.72,0,2,0.05
1050736,22.26,21400,10.46,0,0.67,0
830331,27.65,21391,11.13,0.07,2.59,0
243854,57.28,21381,25.55,0,3.09,0
429730,18.48,21365,8.72,0,0.52,0
1317131,15.9,21362,6.34,0,1.61,0
1434031,78.42,21353,33.04,0,6.15,0.01
1172127,43.1,21339,18.55,0,3,0
633602,57.56,21330,27.71,0.04,1.01,0
247998,20.78,21328,9.17,0,1.22,0
1164139,52.8,21327,25.6,0,0.8,0
652520,45.9,21321,17.88,0,5.05,0.01
610578,53.77,21313,25.52,0.05,1.29,0
339293,62.95,21306,29.59,0.21,1.57,0
1111675,32.02,21304,13.66,0,2.35,0
1227526,50.36,21294,22.25,0,2.93,0
234960,17.56,21286,8.36,0,0.42,0
221999,36.22,21285,17.83,0,0.26,0.01
919748,32.1,21281,13.86,0,2.17,0.01
1263504,33.56,21274,14.45,0.14,2.12,0
508715,74.54,21232,36.84,0,0.43,0
1467889,30.93,21228,12.38,0.23,2.74,0
606196,51.44,21225,22.37,0,3.33,0.01
456219,19.34,21223,1.65,0,8,0.01
1110585,48.58,21215,17.19,0,7.1,0
1339022,41.32,21200,18.9,0,1.76,0
216735,11.42,21196,3.86,0.08,1.73,0
747085,37.3,21195,18.38,0,0.27,0
726153,77.74,21189,36.96,0,1.89,0.01
396290,13.4,21188,4.71,0,1.99,0
748319,47.57,21180,21.97,0.01,1.8,0
75548,37.75,21176,14.38,0.01,4.44,0.02
1444375,38.18,21175,18.32,0,0.77,0
1486717,37.21,21168,17.14,0.11,1.3,0
409260,26.14,21167,11.06,0,2.01,0
550211,20.48,21164,9.22,0.04,0.94,0.01
9463,26.36,21153,10.95,0.04,2.17,0
1043573,21.76,21142,9.4,0,1.48,0
421021,46.64,21127,22.1,0,1.22,0
1195995,58.36,21122,27.92,0,1.24,0.01
148996,52,21116,25.01,0,0.99,0
979078,10.28,21114,3.99,0,1.09,0.03
1352343,26.84,21114,11.37,0,2.03,0.01
1120155,52.69,21111,24.71,0.15,1.41,0
339848,10.02,21104,3.78,0,1.21,0.01
1157679,52.31,21092,24.38,0.01,1.76,0
187208,63.99,21085,30.94,0.11,0.89,0
233442,22.57,21076,9.75,0.07,1.43,0
1026111,27.42,21058,12.45,0,1.24,0.01
1043250,69.84,21057,34.12,0,0.78,0.01
33013,51.68,21055,23.63,0.7,1.16,0
1169021,25.38,21054,11.34,0,1.35,0
