ID,Score,"Emails Sent","Open Rate","Unsubscription Rate","Bounce Rate","Complaint Rate"
1399929,22.12,978911,8.94,0,2.12,0
545487,26.59,824702,9.92,0.07,3.27,0
134605,10.04,793259,3.2,0,1.82,0
176920,3.64,706743,1.18,0,0.62,0.01
1457877,23.68,619095,9.8,0,2.02,0.01
482187,55.24,615865,27.42,0,0.2,0
1385084,53.18,467848,25.69,0.04,0.82,0.01
1057121,21.12,466328,9.53,0,1.03,0
81093,26.04,421046,8.98,0,4.04,0
1507204,21.5,417558,10.53,0,0.22,0
1045097,5.62,396182,2.37,0,0.4,0.02
335411,2.44,392779,1.06,0,0.16,0
601042,22.72,380246,9.68,0,1.68,0
130540,8.9,378008,3.81,0,0.64,0
1436608,15.88,372697,5.95,0,1.99,0
881337,110.91,357579,52.68,0.33,2.26,0.01
748173,29.44,345423,13.59,0,1.13,0
766073,49.09,343156,23.3,0.09,1.11,0
752845,17.22,342656,7.86,0,0.75,0
188883,8.18,338848,2.5,0,1.59,0
47019,15.08,329382,5.89,0,1.65,0
1075604,29.47,322193,14.12,0.01,0.6,0
486577,23.46,317397,10.81,0,0.92,0
1408336,20.06,311671,8.79,0.06,1.15,0
1532524,45.19,310636,19.92,0.07,2.57,0
1007888,70.62,309242,34.96,0,0.31,0.02
379948,23.86,303255,6.59,0,5.34,0
1022308,24.98,300736,11.68,0,0.81,0
382274,37.32,299452,16.66,0.04,1.92,0.01
828424,34.82,298942,16.36,0,1.05,0
542376,36.5,290063,16.58,0,1.67,0
151678,13.96,286459,5.81,0,1.17,0
1223365,72,277816,32.65,0,3.33,0.01
560554,60.82,275179,29.46,0,0.91,0.02
1060681,23.74,274282,10.81,0,1.04,0.01
365694,34.77,271270,16.34,0.01,1.03,0
1541991,65.5,270170,32.42,0,0.33,0
395167,14.45,269498,6.31,0.39,0.33,0
889953,13.2,268229,1.16,0,5.44,0
312356,38.47,267012,18.38,0.15,0.63,0
1265668,15.98,266387,7.72,0,0.25,0.01
393797,46.16,263456,21.06,0,2.02,0
194456,47.43,261891,15.06,0.07,8.53,0.01
275130,31.42,260889,14.87,0,0.82,0.01
1045119,29.85,259896,14.29,0.07,0.53,0
1074302,27.48,257928,13.12,0,0.6,0.01
47886,101.98,252054,47.91,0,3.08,0
662003,124.88,251203,61.72,0.12,0.54,0
223127,37.95,250387,18.03,0.09,0.81,0
489507,16.62,250182,7.27,0,1.02,0.01
628737,17.26,250077,7.46,0,1.17,0
354771,31.74,249886,14.69,0,1.18,0
819741,37.72,249650,17.16,0,1.66,0.02
1255452,27.32,248167,12.42,0,1.24,0
622892,14.7,247511,5.88,0,1.47,0
1464892,22.28,246554,10.44,0,0.7,0
258480,26.24,246221,9.2,0,3.92,0
645513,29.56,245098,13.95,0,0.83,0
60502,32.97,243726,15.34,0.11,0.96,0.01
194316,59.5,243073,26.74,0.34,2.46,0.02
81420,15.66,242705,7.25,0,0.54,0.02
1087381,57.14,241289,27.21,0,1.34,0.01
1080043,16.3,240724,3.26,0,4.89,0
157915,29.6,237816,14.28,0.12,0.32,0.01
1208335,83.7,236379,40.43,0,1.42,0
378498,48.7,233256,16.7,0,7.65,0
261614,31.64,230677,14.29,0,1.51,0.01
1354762,22.05,229600,9.48,0.09,1.41,0
1090962,61.72,229151,26.29,0,4.57,0
995082,88.19,227481,42.86,0.09,1.1,0
959872,7.22,227460,2.17,0,1.42,0.01
1035660,28.04,225935,12.78,0,1.24,0
1232531,51.84,225638,22.46,0,3.46,0
353617,37.56,222643,18.46,0,0.32,0
485350,64.81,222248,31.81,0.07,0.49,0
63720,34.54,218626,14.95,0,2.32,0
421685,42.55,218363,20.73,0.11,0.38,0
1095319,48.62,217903,23.7,0,0.55,0.03
364511,23.9,214078,9.85,0,2.1,0
530427,49.84,213495,16.49,0,8.43,0
1375162,35.68,209980,15.91,0,1.91,0.01
411624,16.84,208654,7.1,0,1.32,0
533413,136.8,208341,68.02,0.04,0.32,0
73675,5.9,206810,2.22,0,0.73,0
886316,14.9,205779,5.93,0,1.52,0
1085684,46.06,205642,21.51,0,1.52,0
98156,54.98,204492,25.53,0,1.96,0
344492,26.3,203997,9.78,0,3.35,0.01
780399,22.02,201432,9.25,0,1.72,0.02
210644,37.21,200629,17.02,0.05,1.51,0
268604,55.3,200157,25.42,0,2.19,0.02
1126568,42.68,200101,17.14,0,4.2,0
1528669,16.42,199697,2.41,0,5.78,0.01
795505,74.43,197182,36.2,0.01,0.94,0.03
588917,27.8,195798,8.46,0.02,5.41,0
921465,32.84,195754,11.5,0.02,4.89,0
159287,43.48,195673,14.94,0.02,6.77,0
695548,10.96,195294,5.03,0,0.45,0
431502,84.44,194949,18.2,0,24.02,0
158152,61.64,194492,30,0,0.82,0
1271584,87.64,193555,43.64,0,0.16,0.01
129556,45.43,191841,22.18,0.01,0.52,0
469304,51.75,191813,23.92,0.09,1.82,0
115637,59.62,191442,29.39,0.1,0.27,0
590427,18.94,191437,8.22,0,1.25,0
457664,46.48,189863,22.06,0,1.16,0.01
320497,14.04,189843,3.72,0,3.28,0.01
1154411,19.42,189331,7.99,0.04,1.64,0.01
1364079,22.62,187202,9.6,0,1.71,0
386323,3,186293,1.08,0,0.42,0
1227329,76.62,185907,36.71,0.14,1.39,0
1376741,8.5,185672,4.07,0,0.18,0
