ID,Score,"Emails Sent","Open Rate","Unsubscription Rate","Bounce Rate","Complaint Rate"
1394200,35.6,15046,15.9,0,1.9,0
247478,26.84,15032,12.67,0,0.73,0.01
27710,29.7,15031,13.53,0,1.32,0
1002692,27.42,15024,12.17,0,1.5,0.02
1409284,36.3,15023,16.92,0,1.23,0
499348,32,15022,12.8,0,3.2,0
1064735,32.92,15022,15,0,1.46,0
1417676,91.36,15020,44.68,0,1,0
293396,50.74,15019,18.47,0,6.9,0
915583,35.02,15014,8.82,0.04,8.63,0
264854,90.26,15002,44.81,0,0.3,0.01
312422,7.52,14999,3.2,0,0.56,0
1407847,57.03,14985,26.6,0.07,1.79,0.01
442836,14.36,14985,4.45,0,2.73,0
775135,33.02,14983,15.34,0,1.17,0
1415664,50.06,14981,17.37,0,7.64,0.01
389642,34.82,14975,16.62,0,0.77,0.01
74698,19.06,14973,8.07,0,1.46,0
173727,35.68,14968,16.12,0,1.72,0
1223422,36.95,14965,17.6,0.01,0.86,0
746066,25.57,14964,10.16,0.13,2.43,0
890502,11.32,14963,4.62,0,0.96,0.04
1124194,50.82,14962,22.88,0,2.41,0.06
379984,24.64,14962,11.73,0,0.57,0.01
1250652,69.6,14961,32.74,0,2.06,0
193062,7.02,14952,2.81,0,0.68,0.01
777569,23.78,14946,9.44,0,2.43,0.01
424062,34.12,14945,16.1,0,0.94,0.01
1332836,53.47,14944,26.35,0.17,0.11,0.01
614586,58.9,14939,26.79,0,2.64,0.01
606465,33.26,14938,10.5,0,6.11,0.01
868905,43.8,14938,20.39,0,1.49,0.01
1490518,17.62,14937,7.9,0,0.91,0
706496,57.88,14936,27.7,0.26,0.83,0.01
36223,86.58,14933,41.6,0,1.69,0
760301,29.44,14924,10.74,0,3.96,0.01
901051,84.14,14924,39.75,0,2.32,0
1166106,23.46,14924,8.26,0,3.43,0.02
1241519,43,14921,19.49,0,2.01,0
1532726,57.4,14919,28.61,0,0.09,0
1450623,18.58,14919,7.62,0.1,1.46,0.03
998443,22.46,14918,9.56,0,1.65,0.01
433310,50.56,14917,24.17,0,1.11,0
675880,33.08,14915,15.73,0,0.79,0.01
1491289,24.56,14914,9.05,0,3.23,0
108765,44.42,14912,14.48,0,7.71,0.01
308570,48.62,14909,13,0,11.31,0
666328,29.68,14904,13.72,0.06,0.99,0.02
999168,32.16,14903,13.55,0,2.49,0.02
618437,34.21,14903,15.98,0.09,0.97,0.01
344560,32.9,14900,15.45,0,0.98,0.01
712196,61.26,14898,29.22,0,1.37,0.02
900036,29.26,14897,12.95,0.28,1.24,0.01
1315131,58.08,14892,26.27,0,2.71,0.03
447809,20.12,14888,6.18,0,3.88,0
1416262,38.06,14885,16.67,0,2.36,0
376580,57.06,14876,27.84,0.06,0.6,0
669622,31.12,14868,12.46,0,3.08,0.01
1415512,46.42,14868,21.89,0,1.32,0
1189785,14.23,14864,6.32,0.03,0.69,0.03
73747,47.9,14862,21.35,0,2.6,0
1539171,22.26,14862,9.82,0,1.31,0
822417,42.33,14853,19.45,0.03,1.65,0.01
947203,61.26,14847,26.74,0,3.89,0
406615,72.94,14843,33.31,0,3.16,0
1046649,23.24,14840,7.69,0,3.91,0.01
561650,16.2,14840,6.83,0,1.27,0
336034,48.66,14840,22.14,0,2.13,0.03
1037123,42.06,14839,18.37,0,2.66,0
141936,32.8,14837,13.99,0,2.41,0
1164022,30.24,14831,14.37,0,0.75,0
612658,45.72,14830,20.64,0,2.2,0.01
126402,15.79,14826,7.39,0.05,0.43,0
210939,29.46,14825,12.76,0,1.97,0
1011645,15.1,14825,3.41,0,4.12,0.01
804911,50.46,14822,22.69,0,2.52,0.01
425745,18.56,14814,7.31,0,1.97,0
1430159,23.76,14813,11.27,0,0.61,0
14760,65.24,14812,31.54,0,1.08,0
710283,52.78,14811,24.62,0,1.69,0.04
483719,34.42,14807,15.48,0,1.73,0
1373868,40.88,14806,15.17,0,5.23,0.02
433358,27.12,14806,11.05,0,2.51,0
828186,30.36,14804,14.27,0,0.91,0
500320,35.14,14803,17.1,0.06,0.38,0
415606,19.86,14801,8.09,0,1.84,0
998952,16.98,14798,5.71,0.04,2.66,0.03
1388077,29.04,14796,12.95,0,1.57,0
565849,37.92,14791,17.04,0.12,1.72,0.01
1320787,51.58,14784,24.67,0,1.12,0
706748,37.85,14781,15.73,0.03,3.11,0.02
820577,23.68,14780,10.28,0,1.56,0
1527596,83.5,14779,39.42,0.08,2.21,0
106256,16.24,14777,6.6,0,1.52,0
1237393,55.08,14772,22.55,0,4.97,0.01
175910,46.88,14759,22.67,0.08,0.65,0
33850,55.14,14757,25.45,0,2.1,0.01
764071,48.88,14754,22.35,0,2.09,0
873744,68,14743,33.48,0.1,0.37,0
1012502,27.22,14743,8.96,0.04,4.59,0
83227,39.14,14742,17.24,0,2.33,0
1014056,20.58,14740,9.27,0,1.02,0
312982,16.86,14740,7.45,0,0.96,0.01
572619,18.36,14737,8.14,0,1.02,0.01
597146,23.94,14733,9.97,0,2,0
597927,22.34,14728,8.76,0,2.41,0
769308,38.96,14722,11.81,0,7.59,0.04
159392,33.42,14718,13.56,0,3.15,0
699705,17.02,14714,7.2,0.2,0.97,0.02
703997,24.92,14714,10.41,0,2.05,0
947254,36.08,14713,17.12,0,0.88,0.02
1263224,31.94,14711,13.7,0,2.27,0
1516738,25.02,14708,9.45,0,3.06,0
206286,59.18,14700,28.86,0,0.71,0.01
10859,39.32,14695,18.29,0,1.35,0.01
481711,42.48,14692,19.89,0.14,1.14,0
488465,32.24,14690,14.81,0,1.29,0.01
513310,54.84,14682,26.35,0,1.05,0.01
767997,27.68,14679,10.45,0,3.39,0
355756,53.02,14679,18.27,0,8.24,0
1482909,41.02,14676,18.23,0,2.28,0
279391,52.92,14668,25.51,0,0.95,0
882440,52.42,14668,25.7,0.1,0.36,0
848595,56.6,14666,27.44,0,0.84,0.01
1297749,25.6,14666,11.85,0,0.95,0
909142,51,14664,9.55,0,15.83,0.06
121257,47.7,14660,23.54,0,0.31,0
1342032,37.32,14660,17.77,0,0.87,0.01
1315944,40.48,14658,19.71,0,0.53,0
1142254,17.42,14651,6.91,0,1.8,0
759030,57.92,14649,28.5,0,0.44,0.01
753747,12.66,14649,5.44,0,0.89,0
1360943,24.7,14649,6.66,0,5.65,0.02
755448,13.98,14644,5.05,0.12,1.7,0.03
401565,10.96,14637,3.82,0,1.64,0.01
1010674,11.78,14629,5.45,0,0.44,0
761160,57.66,14625,27.8,0,1.01,0.01
508934,18.86,14623,7.43,0,2,0
659709,46.04,14622,21.62,0.12,1.22,0
959598,80.54,14617,35.97,0,4.3,0
145401,43.38,14615,20.32,0,1.37,0
1398162,26.26,14613,12.01,0,1.1,0.01
1322078,57.84,14611,27.72,0,1.2,0
411739,34.48,14607,16.9,0,0.32,0.01
1244353,41.27,14600,19.54,0.09,0.96,0
656418,59.5,14600,28.41,0.08,1.2,0.01
280881,28.86,14599,13.79,0.08,0.48,0.02
1370989,26.58,14595,11.87,0,1.4,0.01
